name,gramsPerCup
"Cheese, cottage cheese, with gelatin dessert and vegetables",240
"Cheese, cottage, creamed, large or small curd",210
"Cheese, cottage, dry curd",145
"Cheese, cottage, low fat",226
"Cheese, cottage, lowfat, lactose reduced",227
"Cheese, cottage, lowfat, low sodium",226
"Cheese, cottage, lowfat, with fruit",226
"Cheese, cottage, NFS",210
"Cheese, cottage, salted, dry curd",145
"Cheese, cottage, with fruit",226
"Cheese, cottage, with vegetables",226
"Cheese, Feta",150
"Cheese, Fontina",108
"Cheese, goat",140
"Cheese, Gouda or Edam",132
"Cheese, Gruyere",108
"Cheese, Limburger",134
"Cheese, Mexican blend",113
"Cheese, Mexican blend, reduced fat",113
"Cheese, Monterey",113
"Cheese, Monterey, reduced fat",113
"Cheese, Mozzarella, NFS",113
"Cheese, Mozzarella, nonfat or fat free",113
"Cheese, Mozzarella, part skim",132
"Cheese, Mozzarella, reduced sodium",132
"Cheese, Muenster",113
"Cheese, Muenster, reduced fat",113
"Cheese, NFS",113
"Cheese, paneer",246
"Cheese, Parmesan, dry grated",100
"Cheese, Parmesan, dry grated, fat free",120
"Cheese, Parmesan, dry grated, reduced fat",106
"Cheese, Port du Salut",132
"Cheese, processed, with vegetables",244
"Cheese, Provolone",132
"Cheese, provolone, reduced fat",132
"Cheese, Ricotta",246
"Cheese, Swiss",108
"Cheese, Swiss, nonfat or fat free",132
"Cheese, Swiss, reduced fat",132
"Cheese, Swiss, reduced sodium",132
"Cheesecake, chocolate",180
"Cheesecake, fruit",180
"Cheesecake, plain",180
Cherries (candied),200
