name,gramsPerCup
"Corn, frozen, cooked, no added fat",165.0
"Corn, canned, cooked, no added fat",165.0
"Corn, NS as to form, cooked",170.0
"Corn, fresh, cooked, fat added, NS as to fat type",170.0
"Corn, frozen, cooked, fat added, NS as to fat type",170.0
"Corn, canned, cooked, fat added, NS as to fat type",170.0
"Corn, fresh, cooked with oil",170.0
"Corn, fresh, cooked with butter or margarine",170.0
"Corn, frozen, cooked with oil",170.0
"Corn, frozen, cooked with butter or margarine",170.0
"Corn, canned, cooked with oil",170.0
"Corn, canned, cooked with butter or margarine",170.0
"Corn, creamed",250.0
"Corn, canned, reduced sodium, cooked, no added fat",165.0
"Corn, canned, reduced sodium, cooked, fat added, NS as to fat type",170.0
"Corn, canned, reduced sodium, cooked with oil",170.0
"Corn, canned, reduced sodium, cooked with butter or margarine",170.0
"Cucumber, cooked",185.0
"Eggplant, cooked, no added fat",95.0
"Eggplant, cooked, fat added",100.0
"Flowers or blossoms of sesbania, squash, or lily, cooked",109.0
"Hominy, cooked",170.0
"Kohlrabi, cooked",170.0
"Leek, cooked",170.0
"Lotus root, cooked",125.0
"Mushrooms, fresh, cooked, no added fat",155.0
"Mushrooms, NS as to form, cooked",160.0
"Mushrooms, fresh, cooked, fat added, NS as to fat type",160.0
"Mushrooms, canned, cooked",160.0
"Mushrooms, fresh, cooked with oil",160.0
"Mushrooms, fresh, cooked with butter or margarine",160.0
"Mushroom, Asian, cooked, from dried",145.0
"Okra, fresh, cooked, no added fat",160.0
"Okra, frozen, cooked, no added fat",185.0
"Okra, NS as to form, cooked",165.0
"Okra, fresh, cooked, fat added",165.0
"Okra, frozen, cooked, fat added",190.0
"Lettuce, cooked",86.0
"Onions, cooked, no added fat",210.0
"Onions, cooked, fat added",215.0
"Onions, pearl, cooked",185.0
"Onions, green, cooked",225.0
"Palm hearts, cooked",145.0
"Parsnips, cooked",160.0
"Blackeyed peas, from frozen",185.0
"Blackeyed peas, from canned",185.0
"Green peas, cooked, from restaurant",165.0
"Green peas, fresh, cooked, no added fat",160.0
"Green peas, frozen, cooked, no added fat",160.0
"Green peas, canned, cooked, no added fat",160.0
"Green peas, NS as to form, cooked",165.0
"Green peas, fresh, cooked, fat added, NS as to fat type",165.0
"Green peas, frozen, cooked, fat added, NS as to fat type",165.0
"Green peas, canned, cooked, fat added, NS as to fat type",165.0
"Green peas, fresh, cooked with oil",165.0
"Green peas, fresh, cooked with butter or margarine",165.0
"Green peas, frozen, cooked with oil",165.0
"Green peas, frozen, cooked with butter or margarine",165.0
"Green peas, canned, cooked with oil",165.0
"Green peas, canned, cooked with butter or margarine",165.0
"Green peas, canned, reduced sodium, cooked, no added fat",160.0
"Green peas, canned, reduced sodium, cooked, fat added, NS as to fat type",165.0
"Green peas, canned, reduced sodium, cooked with oil",165.0
"Green peas, canned, reduced sodium, cooked with butter or margarine",165.0
"Peppers, green, cooked",155.0
"Peppers, red, cooked",155.0
"Hot peppers, cooked",150.0
Pimiento,192.0
"Daikon radish, cooked",155.0
"Rutabaga, cooked",175.0
"Salsify, cooked",140.0
Sauerkraut,140.0
"Snowpea, fresh, cooked, no added fat",160.0
"Snowpea, frozen, cooked, no added fat",160.0
"Snowpea, NS as to form, cooked",165.0
"Snowpea, fresh, cooked, fat added",165.0
"Snowpea, frozen, cooked, fat added",165.0
"Seaweed, dried",15.0
"Seaweed, cooked, no added fat",100.0
"Seaweed, cooked, fat added",105.0
"Summer squash, yellow or green, fresh, cooked, no added fat",180.0
"Summer squash, yellow or green, frozen, cooked, no added fat",180.0
"Summer squash, yellow or green, canned, cooked, no added fat",180.0
"Summer squash, yellow or green, NS as to form, cooked",185.0
"Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type",185.0
"Summer squash, yellow or green, frozen, cooked, fat added, NS as to fat type",185.0
"Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type",185.0
"Summer squash, yellow or green, fresh, cooked with oil",185.0
"Summer squash, yellow or green, fresh, cooked with butter or margarine",185.0
"Summer squash, yellow or green, frozen, cooked with oil",185.0
"Summer squash, yellow or green, frozen, cooked with butter or margarine",185.0
"Summer squash, yellow or green, canned, cooked with oil",185.0
"Summer squash, yellow or green, canned, cooked with butter or margarine",185.0
"Spaghetti squash, cooked",155.0
"Turnip, cooked",160.0
Water Chesnut,158.0
"Winter melon, cooked",175.0
"Lima beans and corn, cooked, no added fat",175.0
"Lima beans and corn, cooked, fat added",180.0
"Bean salad, yellow and/or green string beans",150.0
"Peppers and onions, cooked, no added fat",140.0
"Peppers and onions, cooked, fat added",145.0
"Classic mixed vegetables, cooked, from restaurant",185.0
"Classic mixed vegetables, frozen, cooked, no added fat",180.0
"Classic mixed vegetables, canned, cooked, no added fat",180.0
"Classic mixed vegetables, NS as to form, cooked",185.0
"Classic mixed vegetables, frozen, cooked, fat added, NS as to fat type",185.0
"Classic mixed vegetables, canned, cooked, fat added, NS as to fat type",185.0
"Classic mixed vegetables, frozen, cooked with oil",185.0
"Classic mixed vegetables, frozen, cooked with butter or margarine",185.0
"Classic mixed vegetables, canned, cooked with oil",185.0
"Classic mixed vegetables, canned, cooked with butter or margarine",185.0
"Classic mixed vegetables, canned, reduced sodium, cooked, no added fat",180.0
"Classic mixed vegetables, canned, reduced sodium, cooked, fat added, NS as to fat type",185.0
"Classic mixed vegetables, canned, reduced sodium, cooked with oil",185.0
"Classic mixed vegetables, canned, reduced sodium, cooked with butter or margarine",185.0
"Peas and corn, cooked, no added fat",160.0
"Peas and corn, cooked, fat added",165.0
Ratatouille,215.0
"Vegetables, stew type, cooked, fat added",165.0
"Vegetables, stew type, cooked, no added fat",160.0
